Author,Comment,Time
@cepihusmana7121,Apa bisa malaikat yang nanyain dia di alam kubur juga dibohongi? 😂,2 hari yang lalu
@AjiSalim-fb4mr,Preettt,2 hari yang lalu
@yayanKusdiana-g3j,"REPUBLIK NGIBUL MULYONO..
CUMA SI NEGERI KONOHA...
SATU PRESIDEN,,, SATU KOMANDO BISA NGIBUL BERJAMAAH...😂",2 hari yang lalu
@Bambang-zj8xd,"​@cepihusmana7121Ya pastilah..walaupun  Jokowi mati..arwahnya akan bilang "" Saya sehat-sehat saja ""😂😂😂😂😂",2 hari yang lalu
@rinahapsari6445,​ @iqbcup5791  Barisan TERMULLL dari B0Y0LALI 🤣🤣🤣,2 hari yang lalu
@MansurJaya-k3l,"Yg berbohong itu penuduh ijazah palsu , apa  dasarnya Roy panci  menyatakan ijazah Jokowi palsu ,,,? Dari mana,,? Lagi lagi kosinudin membela para pembohong itu bawa agama tp nyari duit berapasih dibayar dgn Roy panci jd kami rakyat Indonesia berpendapat bahwa:  kosinudin bayarannya tinggi sehingga  banting tulang bahkan berkelahipun dipengadilan mau Krn mempertahankan bayarannya yg cukup lumayan",2 hari yang lalu
@FirdaElek-g3x,Orang sakit hati bisa sadar apabila udah di kasih patok atas bawah,2 hari yang lalu
@yayanKusdiana-g3j,"​ @MansurJaya-k3l 
Argumen nya masih dangkal..",2 hari yang lalu
@dedesadewa4425,​ @MansurJaya-k3l bukanya kebalik? Disana banyak pengacara yg bayaranya mahal,2 hari yang lalu
@dodol9792,"​ @yayanKusdiana-g3j 
Kalau urgument ini apa masih dangkal..👇

Rasulullah SAW pernah bersabda:  ""Andaikan semua manusia diberi (apa yang mereka dakwakan)  niscaya akan banyak orang yang mendakwa/menuntut harta/darah orang lain,""",2 hari yang lalu
@oreo-ok2gl,​ @MansurJaya-k3l lah sampe sekarang ijazah aslinya juga kagak ditunjukin. Artinya apa ? Kalo aslimah pasti bangga ini loh ijazah saya 😂 logikanya jangan kebalik,2 hari yang lalu
@AdiSusanto-zn9yr,Kamu percaya UGM atau roy cs,2 hari yang lalu
@MujiAnto-v1x,"Jokowi menyiksa diri sendiri, hidupnya dibikin sulit sendiri.,",2 hari yang lalu
@dodol9792,"​ @oreo-ok2gl 
KOMENT LU AJA BAU TOKAI...😂😂😂😂",2 hari yang lalu
