Author,Comment,Time
@dodol9792,"😂😂😂.. DIKETAWAIN SAMA ANAK SD...😂😂

SAKSI AHLI DISUMPAH MEMBERIKAN KETERANGAN SEBENARNYA SESUAI DENGAN KEAHLIANNYA...

DILUAR DR TANGGUNG JAWAB PENUDUH & TERTUDUH...",2 hari yang lalu
@nagarataikland5368,Orang berbohong tak akan selamat diakhirat.,2 hari yang lalu
@yogisaputranurdiansyah4939,Betul dan orang orang yang menyebarkan fitnah mencela memaki bapak Jokowi akan bertanggung jawab dunia akhirat… semua akan diadili di sidang akhirat,2 hari yang lalu
@DiaAnaana-ex4hr,Harus melibatkan pihak netral biar mslh nya menerima kedua belah pihak.,2 hari yang lalu
@yuliswarwar4368,ahli dari pasar Pramuka.,2 hari yang lalu
@Darwinritonga,​ @MuhMasduki  blok medan sudah mulai goyang,2 hari yang lalu
@jenongcathoz1758,"😂😂😂WADUH,,,INI BUDAK BIN JONGOS HABIB YA,,,UDH DPT KUNCI SEREP SURGA DR HABIB DOBOLLOWI NIH😂😂😂,,,MINTA RANTE EMAS DONG DAK😂😂😂",1 hari yang lalu
@jenongcathoz1758,​ @yuliswarwar4368 😂😂😂AWAS STROKE SUUDAAREEEE 😂😂,1 hari yang lalu
@agussutriatmaja1176,Mereka gax takut akhirat😂😂😂,1 hari yang lalu
@jokongawur1376,Yg fitnah juga bertanggung jawab dunia akhirat,1 hari yang lalu
@Hartini-m7f,Gol Roy cs biar puas....,1 hari yang lalu
@jefrisupriyadi5541,Memangnya anda pernah ke akhirat bro...ini kayaknya gerombolan halusinasi sakit hati penganut jahiliyah,1 hari yang lalu
@padnawitawan3363,7 Ahli menyembunyikan kebohongan ya? Jangan heran mas bro... Rupiah beraksi😂😂😂,1 hari yang lalu
@alfatih3305,Mana dipikir yang penting fulus.,1 hari yang lalu
@Sultan-uf3zm,Saya yakin izasa jokower palsu😂,1 hari yang lalu
@mohamadreza9112,​ @Sultan-uf3zm  saya juga yakin ijazah mulyono Asli. Klo ijazah Jokowi Udah jelas palsu. 😂,1 hari yang lalu
@HannaSumaryanta-x2r,ohh .. seraaaammmm,1 hari yang lalu
@titinyuliana3841,DEWA PANCI masuk bui,1 hari yang lalu
@MITRA_ERLANGGA,​ @dodol9792 Lo ketawa berarti lo anak SD,1 hari yang lalu
@Trimartono-i5j,"Kl 7 ahli yg panggil dr institusi kepolisian , sama aza bohong.",1 hari yang lalu
@arifathadi968,"​ @yogisaputranurdiansyah4939 tapi Asemka dan ekonomi meroket,sampai kasmojo, bohong lho,JD yg bikin dosa siapa...klow gak ada kebohongan juga baik2saja,,,jangan lihat api dan asapnya saja tapi lihat asal kebaranya.kau bela Jokowi BS jadi benar BS juga salah... setidaknya akalmu kau pake.",1 hari yang lalu
@edysusanto7660,"Setuju Dr Hamid Awaludin, indikasinya Pak Jokowi akan dimenangkan",1 hari yang lalu
@dodol9792,"​ @MITRA_ERLANGGA 
Kalo gak ketawa gak bakalan ada yg mau jadi saksi..😂",1 hari yang lalu
@dodol9792,"​ @MITRA_ERLANGGA 
KALAU SAKSI AHLI MEMBERIKAN KETERANGAN TDK SEBENARNYA BARU BISA DIPERMASALHKAN...😂😂😂😂😂😂😂😂😂",1 hari yang lalu
@akhmadalimudin8962,Btull stujuuuu merka akan dipertgugjwabkn dialam barzah bazer2 pndusta geng slo,1 hari yang lalu
@dodol9792,"​ @akhmadalimudin8962 
Santet solo kaleee..😂",1 hari yang lalu
@hekpalangmati3793,Komenan anda jg akan dipertanggung jawabkan di dunia dan akherat...,1 hari yang lalu
@b-wd8wo,Sama yg fitnah juga harus tanggung jawab didunia dan akhirat nt😂😂😂,14 jam yang lalu
@aminkangipos3781,"Justru yg suka memfitnah org itu hati hati, pk Jokowi dan klwrga itu nga pernah mencaci maki klmpok anda",13 jam yang lalu
@badygomes152,Di akhirat lw aja banyak bohong,8 jam yang lalu
@grincorner1116,"Negara buat mainan,negara diluar sana sudah maju kita masih dibikin  plonga plongo ga jelas 😂😂😂",7 jam yang lalu
@alfonsokondo5751,Woiiii kan Jokowi udah bilang di pengadilan akan di tunjukkan kalau hakim minta.😂😂😂😂 Lucu kalian,1 hari yang lalu
@adizaravzarav5898,km tahunya cuman logika tp TK th aturan..dan hak orang lain,1 hari yang lalu
@yws3675,"Asli tidak nya barang biar pembuatan nya yang bicara 😂 kau tak percaya pembuatan nya gimana ceritanya,logika mu Dangkal kah 😂😂",1 hari yang lalu
@Febi-l6b,Menunjukkan ijazah bukanlah hal yg tabu,22 jam yang lalu (diedit)
@yws3675,​ @Febi-l6b menunjukkan ijazah sesuai dengan keperluan dan kebutuhan dan siapa yang meminta 😂 ngapain nunjukin ke orang tidak semestinya 😂,21 jam yang lalu
@xperimental1974,"Kecuali Ternak Mulyono, karena logika sederhana aja gak nyampe otaknya",18 jam yang lalu
@WahyuniRimawati,"itu logika orang yg gak cerdas...yg mau merusak NKRI,menfitnah dan membodohi rakyat indonesia...",17 jam yang lalu
@askaaska8471,Ijazahnya asli... Kata yang buatnya asli ko,16 jam yang lalu
@SendangMetamorfosa,Pak jokowi belinya yg asli lho..bukan yg palsu,12 jam yang lalu
@ArPan-k7n,Banyak muliut,2 hari yang lalu
@NuryantoO-wq5dj,Aamiin🤲🤲,2 hari yang lalu
@zulkiplijoel3572,Aamiin yra 🤲🤲,2 hari yang lalu
@AjiSalim-fb4mr,Preett apa kubu roy ga pernah bohong,2 hari yang lalu
@JainapInap,Aamiin,2 hari yang lalu
@tedyherdyana9371,Aamiin.,2 hari yang lalu
@BoyJawa-qd8uh,"Ya Allah segerahkan lah Roy panci cs CPT masuk buii..biar para kacung"" PDA demo kasiah mereka"" para kacungng nya panci cs biar dpt lontong satu biji😅😅😅",2 hari yang lalu
@wasistanvan6613,"panci suruh kembalikan dulu 😅
    9,5m uang rakyat 😂",1 hari yang lalu
@dimasseto7248,"fakta2 yg di ajukan roy suryo cs logis dan terang benderang, sangat dragukan ijasah jokowi
dipakailah logika kekuasaan lewat polisi dengan membangun argumen dan narasi via tenaga ahli
dan pada akhir nya logika akal sehat masyarakat akan dipaksa untuk menerima logika kekuasaan itu.",1 hari yang lalu
@barbarking307,Tuman 😂,1 hari yang lalu
@BOBAChanel-s1g,Bawa2 nama TUHAN 😂😂😂,1 hari yang lalu
@abahlukychanel5346,"​ @AjiSalim-fb4mr komentar blunder, secara tdk langsung mengakui bahwa kubu yg anda dukung telah melakukan kebohongan 😅😅",1 hari yang lalu
@arifhandy4619,Yang pengalaman masuk bui siapa? 😂,1 hari yang lalu
@rinipadangprancis695,Preeeeet 😂😂😂,1 hari yang lalu
@achmada-np1bs,Amiiin,1 hari yang lalu
@udinjaenudin-w8r,Pejuang    yg sia sia  konyol,1 hari yang lalu
@udindinoce9978,"klo Tuhan gak sesuai mau mu, apa akan nyalahkan Tuhan ???? 🤭😬",1 hari yang lalu
@srisuciatimakmur8352,Allahumma Aamiin Ya Mujibassailin 🤲🏻🤲🏻🤲🏻,1 hari yang lalu
@WahyuniRimawati,​@wasisdya gak kuat beli pancitanvan6613,17 jam yang lalu
@luqar1f,"Pengadilan adalah tempat yg tepat untuk menguji kejujuran, ketahuan siapa yg jujur siapa yg bohong.. dan yg bohong bakalan masuk penjara",2 hari yang lalu
@andrevixon.6923,​ @luqar1f ini konoha. Ingat kasus ekspor cpo yg merugikan negara 11trilyun lebih...?? Di pengadilan justru terdakwa di vonis bebas & ternyata setelah di usut oleh kejaksaan terbukti hakim & panitera di suap oleh terdakwa lewat pengacara. Mencari orang jujur di negeri konoha itu ibarat mencari jarum di jerami.,2 hari yang lalu
@bojongsur1881,"​ @andrevixon.6923 kasihan sekali klo udah gak percaya penegak hukum di Indonesia 😂 pasti hidup nya cape banget,klo saya nih mending pindah ke negara lain 😂🏃🏃🏃🏍️",2 hari yang lalu
@AjiSalim-fb4mr,"Negri angin,,",2 hari yang lalu
@JainapInap,Kalau mmg benar asli semoga pembela pak jokowi sehat selamat..tapi klau berbohong menutupi kebohongan semoga cepat dapat ajab di dunia ini juga di hina sehina hina nya Aamiin,2 hari yang lalu
@dodol9792,"​ @JainapInap 
Kalau yg menuduh gak dikoment..?",2 hari yang lalu
@dodol9792,"SIMBOL NEGARA INDINESIA ADALAH PANCASILA.. ""BHINEKA TUNGGAL IKA"".

SEJAK KAPAN BERUBAH JD ""KEKUJURAN"".",2 hari yang lalu
@iminodhe4220,​ @dodol9792  bisa di jelaskan ? Soalnya sya kurang faham dgn komen abang 🙏,1 hari yang lalu
@dodol9792,"​ @iminodhe4220 
Koment yg mana ?",1 hari yang lalu
@jefrisupriyadi5541,"Beginilah orang yang gak percaya sama ajaran atau aturan negaranya sendiri dan percaya sama ajaran atau aturan dari luar, padahal ajaran dari luar itu terkenal dari negara jahiliyah, kemungkinan besar ajaran dari jahiliyah banyak yang bohong dan halu",1 hari yang lalu
@isnawati-ii6pf,​ @iminodhe4220  ngomong 1 lakukan yang 1 jangan 2  apalagi 3  itu maksudnya,1 hari yang lalu
@blegedutchanel551,Tunggu saja p❤engadilan .siapa yg pakai bajuor❤,5 jam yang lalu
@Atiiiii-el4th,"Itu susahx krn nt km blg jujur klo roy cs yg d menangkn gmn klo emg asli ijazahx pk jkw ms mo d blg palsu br d blg jujur, aneh bin ajaib",2 hari yang lalu
@rudijunizar5864,Yahh ahli ini  sdh pasti pilihan jokowi...mana  berani polisi manggil ahli yg kontra jokowi..,2 hari yang lalu
@dadsaccount8354,"​ @rudijunizar5864 Terus lo akan bilang polisi dan pengadilan berpihak jokowi kan wkwkwk, knp gak lapor NATO aj klo gt 😂😂😂",2 hari yang lalu
@shopidshopid9236,"Sidang belum berjalan sudah seudlon  , trs maunya gmna ?
Salah / tidak jokowi harus di hukum penjara 150 thn gitu baru puas gerombolan orang2 yg sakit hati termasuk semua dari HTI /FPI .",2 hari yang lalu
@NgatemiKasih-l8w,"Yg jujur satu yg bohong seribu yg bohong tetap menang,selamat bertahan dg bohongnya sampai titik penghabisan,stlah itu kejujuran akan muncul",2 hari yang lalu
@NuryantoO-wq5dj,"Akan kena gatal"" selama nya semua nya n setruk selama nya Aamiin🤲",2 hari yang lalu
@dodol9792,"​ @NuryantoO-wq5dj 
Akan datang hari Mulut dikunci Kata tak ada lagi..
Berkata tangan kita Tentang apa yang dilakukannya.
Berkata kaki kita Kemana saja dia melangkahnya.
Tidak tahu kita Bila harinya..
Tanggung jawab tiba.",2 hari yang lalu
@nurlelimarpaung8580,"LIBATKAN SAJA DARI HUTAN,,,,BIAR SERU DAN BISA JADI PRESEDEN BAGUS UTK ANAK CUCU YG AKAN DATANG",2 hari yang lalu
@hanifanaffandi8679,Masing masing pihak bawa ahli yg berimbang masing masing 25 ahli,1 hari yang lalu
@mannto8287,"Yang dukung rismon dkk wajib di pertanyakan ,😂😂😂 
?",1 hari yang lalu
@ekamahardika6515,Yg jujur panci cs katanya yg bodoh😂😂😂😂,1 hari yang lalu
@sunardisunardi5776,"Aku gak butuh bnyk2 tnga ahli,cukup 1 aza yg alhli mmgaburkan masalah aza biar fres bebas gak beban lagi",1 hari yang lalu
@ceritaaqib8430,Se7 kita doa kan yang membela dengan didasarkan tdk dengan kebenaran dan jujur smga kena azab Allah Aamiin YRA.,1 hari yang lalu
@HarmonoMono-o8p,Jangan jangan sebalik nya ya​ @NuryantoO-wq5dj ,1 hari yang lalu
@HarmonoMono-o8p,Hoy osinudin,1 hari yang lalu
@DeaikFormosa,Psti km bilng tdk jujur,1 hari yang lalu
@BudiAnto-qb4cm,"Tinggal tunjukan ijasah jokowi trus diuji bareng oleh ahli kdua pihak jangan cari"" Pasal untuk menghukum orang",1 hari yang lalu
@maryatimaryati674,"Org yg bakal menang omgnya santai!! Krn bakalan menang!!,,, beda ma yg mo klh!!,, omgnya ndrojos keras   itu pertanda takut kalah tapi emg betul2 kalah!!!😂😂😂😂",1 hari yang lalu
@maryatimaryati674,​ @HarmonoMono-o8p  😂😂😂😂😂SI UDIN NDROJOS TAPI GK MUTUUUU😂😂😂😂CUMA RAME SWARANYA DOANG KAYAK MERCON😂😂😂😂DHOR DHOR TRS HILANG😂😂😂,1 hari yang lalu
@BismillahKebaikan,"Pokoknya  yg berpihak jkw. berarti dianggap tidak jujur.
Sampai malaikatpun bela jkw pasti dibilang tidak jujur.",1 hari yang lalu (diedit)
@ArisnoJbi,Yg mngadakn 7 ahli itu jokowi.brti itu punya jokowu😅😅😅,1 hari yang lalu
@MuhSyarif-zz3no,"Itulah harapan rakyat, tapi agaknya masih sulit diterapkan",1 hari yang lalu
@BismillahKebaikan,"​ @MuhSyarif-zz3no sulit harapan rakyat A dn B berbeda persepsi. 😂😂😂.

Pengen bela A yang B bantah.
Belq B yang A ngebantah.

Itulah seni.",1 hari yang lalu
@jualmahal4269,"Kubu jokowi ok, berarti sdh diatur..😅",16 jam yang lalu
@ulama1968-d7x,pembohong pastilah masuk penjara..,2 hari yang lalu
@slametibnpawito8528,"​ @ulama1968-d7x  Setuju 👍👍👍
Apalagi yg sudah memBOHONGI seluruh rakyat Indonésia",2 hari yang lalu
@bojongsur1881,Betul 😂😂😂 pembohong pasti masuk dan itu Roy Suryo cs,2 hari yang lalu
@NuryantoO-wq5dj,"Aamiin"" ya robb alaamiin🤲🤲",2 hari yang lalu
@BoyJawa-qd8uh,Nah kan itu bisa mikir pemboong pasti masuk penjara kami percaya klo Roy panci cs masuk buiii😅😅😅,2 hari yang lalu
@Sita97-p8v,Konferensi pers ijazah boleh yang fotocopy ya?????,2 hari yang lalu (diedit)
@AdiSusanto-zn9yr,Bohongnya dmn ?,2 hari yang lalu
@waas1590,Udah memenjarakan orang terus berbohong dosanya numpuk,1 hari yang lalu
@espadarichie6680,"​ @AdiSusanto-zn9yr   bohongnya dimana ?
Tanya kasmudjo 😂",1 hari yang lalu
@dodol9792,"​ @waas1590 
WADUH.. 
PAK HAKIM & PAK JAKSA & PENGACARA.. JUGA KERJAANNYA MEMENJARAKAN ORANG..",1 hari yang lalu
@suryantod5837,Mestinya yg membuktikan itu ya ijazahnya yg di anggap palsu itu dibandingkan dg ijazah lain yg asli.dari  U G M  tapi memang di buat mbulet alias dibuat sulit kok masyarakat sdh pd tau kok,1 hari yang lalu
@suryantod5837,Diiaaaaaammmm.........😂😂😂,1 hari yang lalu
@yamincn4133,Amiiiin pembohong dn pemfitnah saya pastikan akan pake baju oranye termasuk gerombolan Roy Suryo,1 hari yang lalu (diedit)
@BakriSuherman-m7f,Siapa yg bohong nanti..kita lihat diPengadilan...dan siapa yg nanti digiring utk menginap di Hotel Prodeo..,1 hari yang lalu
@HandryBernard,Apalagi pembohong yg udah kena penyakit kulit budug,1 hari yang lalu
@slametibnpawito8528,​ @BoyJawa-qd8uh HARUS ya nalar TERBALIK untuk membela jokowi...?,1 hari yang lalu
@ANRIZA-oz5qt,Roisuryo cs orang jujur  saya orang awam aja bisa menilai  mana yang jujur  mana yang bohong,6 jam yang lalu
@AnindyaFauziah-u2y,Dilindungi di penjara maksudnya,1 hari yang lalu
@umayy-fm4ob,lenih cepat grombolan yg gk penting dy tangkap biar aman,1 hari yang lalu
@predatorjaya178,Parah narasinya.. Kwakkakak,1 hari yang lalu
@juniyanto7269,pengacara spesialis gagal..klien nya ga pernh ada yg menang..wkwkwk,1 hari yang lalu
@NurKhamit-z8w,Ahmad tompel 😊,1 hari yang lalu
@titinyuliana3841,Udin TOMPEL pasti KEOK,1 hari yang lalu
@alinst619,Hiya hiya hiya bolehlah,1 hari yang lalu
@alinst619,​ @juniyanto7269 iya setuju 😂,1 hari yang lalu
@AldyYanto-z9m,Tuhanmu patung ya😂,2 hari yang lalu
@dodol9792,"Tanda2 akhir jaman semakin terlihat..
Pengukit d.j.l mulai menebar fitnah..",2 hari yang lalu
@NuryantoO-wq5dj,Aamiin🤲,2 hari yang lalu
@herusnanang9189,"orang HTI dipercaya kocak, dia mau merubah Pancasila jd negara khilafah. 
🤣🤣🤣",1 hari yang lalu
@sumiati1759,"Pengacara  yg konsisten ,  semoga allah swt memudahkan perjuanngannya   dalam menunjukan kebenaran  Aamiin",2 hari yang lalu
@santosohadi9791,"Ya .Allah tunjukkan kuasaMu.
Lindungilah para pejuang penegak kebenaran..",1 hari yang lalu
@mikoindonesia,"Pak Ahmad khosinudin mengatakan kebenaran,yg 2 org disampingnya membela kebohongan. Biar Allah SWT yg membalas",2 hari yang lalu
@beruangyutub4607,"Harusnya kalau yakin asli, UGM & Jokowi konferensi pers bersama untuk menyanggah isu ini.",1 hari yang lalu
@SyamElBugs,Yg paling penting n menentukan diperlukan Hakim    Ahli Hukum KEJUJURAN.,2 hari yang lalu
@azharazhar-fj5ic,"Pengacara Ahmad khozinudin
Cerdas jelas dan mudah di mengerti, smga sht slalu dan lancar untuk membela kebenaran amiin👍👍👍",2 hari yang lalu
@kabaygemes8234,Semoga orang yg berbohong mendapat hidayah dari Allah sehingga muncul kebenaran,1 hari yang lalu
@aguswidagdo5785,Dampak kerusakan Jokibul luar biasaahh..😢,1 hari yang lalu
@AcungCelebok,"Bang khoxinudin cerdas, omongan nya masuk akal muda dimengerti",2 hari yang lalu
@hamerukurniawan176,Bagus juga pencerahan dari bang Ahmad. Pengacara yg hebat. Bravo bang.,1 hari yang lalu
@jekikurniawan8554,"Sesuatu yg benar itu mudah
Sesuatu yg bohong itu susah",1 hari yang lalu
@encikyusof6024,sebab itulah kita umat islam wajib memilih peminpin yg berilmu beramal soleh dan bertakwa (takut pada Allah) pasti aman dan diberkati Allah...,1 hari yang lalu
@HadiPrasetia-z6r,Harusnya pada waktu uji forensik Pak Rismon dan Pak Roy Suryo dilibatkan mewakili publik.,1 hari yang lalu
@aknianingsih2705,"Sgt sk menyimak pencerahan dri Bpk Akhmad Khozinudin sgt msk akal mudah di pahami🎉🎉🎉
Pengacara Sholeh nan Cerdas ❤️❤️❤️",2 hari yang lalu
@suroso0711,"Semoga pengacara Roy suryo cs ditambah kecerdasannya, orang orang membela kebohongan tetap bertahan dengan kebohongannya.",2 hari yang lalu
@Duryat-d6l,"Di Indonesia siapa yg duitnya banyak salah, bohong bisa jadi benar apalagi para oknum polisi pengacara bahkan hakim  😂😂😂😂",3 jam yang lalu
@Sanimun1958,"Lanjut Bang Roy , CS ,bersama Pengacaranya kami butuh kebenaran bukan kebohongan,kami juga ingin semua agar jujur siapapun nanti yg tidak jujur ya harus diterima siapapun orangnya jangan nanti menghindar dari tanggung jawab",2 hari yang lalu
@abdullahamin4905,Saya sllu mnemukan fakta dan kebenaran di stiap penjelasan pak Ahmad khozinudin.Runut berdasar data dan fakta.,2 hari yang lalu
@jangansubscribe9747,"Pengacara Ahmad khozinudin cerdas paparannya mudah di pahami,, maju terus ❤",1 hari yang lalu
@hasanalmufid2502,"Luar biasa pak Ahmad dalam menyampaikan sangat jelas sangat dapat dipahami dan dimengerti,disini saya tidak berpihak tapi sekali lagi emang luar biasa pak Ahmad ❤❤❤",1 hari yang lalu
@Syukri-b7i,Kebenaran itu tetap tidak berpihak ijazah palsu tukang bohong😂,2 hari yang lalu
@wantokobra4468,yg bkn ribut itu mulyono,2 hari yang lalu
@annmary4788,Aamiin Aamiin yaa rabbal Aalamiin 🤲,2 hari yang lalu
@pangkalgudang6752,"Aduuhhhh buktiin kalo palsu bawa kepersidngn,,hidup kalian ngeras bersih,,",1 hari yang lalu
@BakriSuherman-m7f,"​ @Syukri-b7i 
Kita lihat nanti tgl 2 Juli..siapa yg berhak pakai baju ORENGE...utk Nginep di Hotel Prodeo .",1 hari yang lalu
@Syukri-b7i,​ @BakriSuherman-m7f Haa.. Ternak jokowi and Parcok genk solo bangkit lagi dari alam kubur..😂😅,1 hari yang lalu
@HendraAs-k1n,Konsisten kalah nya.dan nanti bakal kalah lagi..,1 hari yang lalu
@alokomarudin,​ @BakriSuherman-m7f ... 😂😂😂😂😂😂😂😂,1 hari yang lalu
@rudikasinyo2215,"Sudah memfitnah, g nyadar",1 hari yang lalu
@srisugiarni2052,Klo ahlinya termul yo..ga ada keadilanya,1 hari yang lalu
@AbdiPrayogi-b1f,Semoga segera berseragam oranye,1 hari yang lalu
@DadangDadang-z7u,"​ @pangkalgudang6752 kalau asli dari dulu sdh di lihatkan ,berhubung palsu sampai saat ini siluman ,anak sd aja tau",1 hari yang lalu
@hendriamri1528,konsisten nagcok ya,22 jam yang lalu
@murnisihombing4873,"konsisten memang si tompel itu, konsisten dalam kekalahan di setiap sidang . Lihat itu si Gusnur yg baru keluar dari penjara, sudah tobat dia nya",22 jam yang lalu
@AvelineR-u4x,HTI FPI,6 jam yang lalu
@nenenglilis649,mkin cma hukum allh yg mmpu mngadili kasus ini,1 hari yang lalu
@solemanst8342,Ya Allah lindungilah pk Jokowi dari grombolan orang yang selalu membuat gaduh negeri ini,1 hari yang lalu
@sodriyanti,Aamiin,1 hari yang lalu
@arektakraw5417,Aamiin,21 jam yang lalu
@muhamadsoleh9480,Siapa pejuang itu😂😂😂,19 jam yang lalu
@dinarochmawati7559,Aamin 🤲,3 jam yang lalu
@arifsatria5558,Ngomong opo sih lu,2 hari yang lalu
@BOLODOGIKANLUMPUR,"Saya tetap tidak yakin AH orang yang mengatakan kebenaran, manusia pemilik kebenaran itu cuma satu Nabi Muhammad saw, jadi jangan tendensius kecuali Anda satu golongan HTI",6 jam yang lalu
@Transformer5299,"AK Cerdas, bicara dimanapun sesuai Fakta² kebenaran.
Yang Claim Ijazah Palsu adalah orang² Cerdas, Ahli, Ilmuwan, Doctor, Lawyer bukan rakyat biasa spt BBTri & Gusnur yg dipenjarakan walaupun tidak ada Barang Buktinya yg tdk pernah ditunjukan ke Publik.
Semakin lama Rakyat semakin Cerdas menilai Ijazahnya Asli/Palsu.",1 jam yang lalu (diedit)
@udinudin9758,"Justru karena alumni palsu,maka tidak berani konprensi fersm",1 hari yang lalu
@BOLODOGIKANLUMPUR,"Namanya beruang ytube sih, jadi tidak mengerti tentang penggalangan operasi intelegent, negara dengan strategi intelegentnya sedang memberangus antek2 HTI sampai ke akar²nya melalui pendekatan kasus ijazah, dengan strategi ini akan bermunculan antek HTI diberbagai elemen, Mudah2an setelah mereka diringkus masyarakat akan aman dan damai sehingga NKRI jaya menuju Indonesia emas 2045",6 jam yang lalu
@Aruminingsih-yz7kx,lha yo kok gak berani. terus kampus UGM kok gak serius menanganinya.,4 jam yang lalu
@zulfansyamsuar9135,"Buat alih kapolri satu kata 
DIAAMMMM",2 hari yang lalu
@danfortpwr3464,Mereka semua sudah di bayar,2 hari yang lalu
@budisantoso4322,Semoga kasus ini ditangani oleh hakim yang jujur dan independen.,2 hari yang lalu
@tedyherdyana9371,​ @danfortpwr3464  semoga kelak ada proses penyelidikan ttg ini. Kami mendorong pemerintahan untuk lebih bersih diproses pengadilan RI! Aamiin.,2 hari yang lalu
@mulyadilubis3354,Hakim yang menantang tuhan jgn di pakai,2 hari yang lalu
@SyamElBugs,"Kalo bisa pilih saya minta hakim yg tangani kasus praperadilan dlm kasus almarhum Fina di Cirebon. Maaf saya lupa nama beliau
.",1 hari yang lalu
@jenongcathoz1758,😂😂ROY PANCI CS LG BINGUNG MAU CARI PANCI BARU 😂😂😂,1 hari yang lalu
@AndiAkhsan-y6b,"Ariyanto kurang update cuma tau nya menutupi dan membela kebohongan,gmana kita mau percaya bapak ini,,dia saja banyak memalsukan😂😂😂😂",1 hari yang lalu
@akusuka-2992,Rezim amatiran ga becus. Tinggal nunjukin ijasah asli beres.😊,1 hari yang lalu
@poranghitamgedongcitro1068,Tunggu di penjara  heeee,1 hari yang lalu
@poranghitamgedongcitro1068,Pembenaran oppo kebenaran haaa nalar waras,1 hari yang lalu
@sodriyanti,Aamiin,1 hari yang lalu
@alaricarkan14,Padahal tdk rumit ya... giginya dan foto detil sdh bisa di tebak..,2 hari yang lalu
@BOBAChanel-s1g,😂😂😂,1 hari yang lalu
@udinjaenudin-w8r,Akal bulusss​ @alaricarkan14 ,1 hari yang lalu
@maslinahse3956,Salot dgn abang ini cerdas penjelasannya,1 hari yang lalu
@IGP-RDJ-,apanya yang cerdas .... wkwkwkwk,12 jam yang lalu
@BOLODOGIKANLUMPUR,​ @IGP-RDJ- biarin dibilang cerdas oleh orang yang sederhana literasinya,6 jam yang lalu
@ninasalim1491,pengacara yg hebat dalam provokator 😂,1 hari yang lalu
@anggawidyatmoko7786,"Pengacara yg asal bicara, yg penting bicara tp sayangnya sering kepleset😅",1 hari yang lalu
@yudassejati-n9k,Mencerdaskan kambing,1 hari yang lalu
@HendraAs-k1n,Pengacara kalah terus...,1 hari yang lalu
@dennyadisetya79,Benar...😂,1 hari yang lalu
@mancingmantapmania2917,Kita tunggu aja letak kebohongannya nanti pasti terkuak😂,1 hari yang lalu
@srisuciatimakmur8352,Betul,1 hari yang lalu
@MrBen-vu2oo,Nah ini logika yang sangat dipahami oleh siapapun,1 hari yang lalu
@epzchannel1819,"kita nantikan saja siapa yang bohong.. kalau UGM yang bohong, saya lompat dari monas😂😂",1 hari yang lalu
@herryher-sp7zw,Kalau sakit hati melihat kebenaran sulit menyatakan kebenaran apapun salah...saki hati permanen sulit disembuhkan.,1 hari yang lalu
@titinyuliana3841,DEWA PANCI laknatullah,1 hari yang lalu
@FeriKurniawan-u7w,"Ya betul, Alhamdulillah saya dulu proses diterima kerja di salah satu PT nasional,syarat CV , FC ijazah legalisir ( tanpa menunjukkan ijasah aslinya), klo PT yg biasa aj malah menyerahkan ijasah asli.",1 hari yang lalu
@HeruRudianto-m5m,Terserah kalian ternak hewan.,1 hari yang lalu
@pelayantamuallah1990,Pasti seru ini,1 hari yang lalu
@nhuslafhtrya4458,"Cukup kasus cirebon ( pegi ), arianto ini dalam hanya memberatkan orang yang tak bersalah, percuma jadi penasehat.",1 hari yang lalu
@potensialAirdrop-w9g,jadi pengen liat pembohong di arak warga macam maling 😊😊,1 hari yang lalu
@iyolheru8179,Tidak harus beragama Islam ya...,14 jam yang lalu
@ImamSyafii-d3x,Emang rismon si muka hancur dan Roy panci itu siapa😅😅😅,1 hari yang lalu
@kesatriaNKRI-w2k,mana berani,1 hari yang lalu
@NayyaraArsyila-i2v,Emng bagian publik yg mana..... perusuh,1 hari yang lalu
@riiyadi_sawux3785,Publik yg mana😅,1 hari yang lalu
@coverdestroyer3572,​​ @riiyadi_sawux3785  yg pasti bukan buzzer,1 hari yang lalu (diedit)
@haryabraham,Mewakili publik???,1 hari yang lalu
@Iwanpono2627,"Dia bkan ahLi..
Yg d sebut ahLi itu yg bnr2 sdah di bidang ahLi nya
Roy cs ahLi apa dLu",1 hari yang lalu
@Transformer5299,"Betul ... Bisa langsung Terbongkar Ijazahnya Asli/Palsu & Pelaku yg terlibat bisa dipenjara. Beres, selesai masalahnya.
Kira² brp BIAYA yg dikeluarkan si Pemilik Ijazah utk membayar Ormas², Lawyer², Polisi², Hakim², Jaksa², UGM & para Buzer²nya ??",1 jam yang lalu (diedit)
@baskorocandra3142,"Pencerahan dari segi mana, namanya penasehat hukum ya sperti itu",1 hari yang lalu
@CahyoSanankulon,MUNTAH,1 hari yang lalu
@satriokahuripan,😂😂😂😂...lemah SDM mu,1 hari yang lalu
@anggunelytasani1335,😂sakit itu,1 hari yang lalu
@AndraSusilo-x9b,"Tompel mulai panikan,,,😂😂😂😂😂,,",1 hari yang lalu
@kangkarni3223,"Suaranya enak didengar, layak jadi blantik",1 hari yang lalu
@pancajaya4836,Tompel bisa jadi tersangka karena turut serta sebagai provokator di setiap demo antek antek TPUA,1 hari yang lalu
@adisetiawan7714,wkwkwk😅,1 hari yang lalu
@sundaSmart-s4h,Banyak termul menyerang pisik bang khozinudin karena sudah tidak mampu melawan dg narasi,1 hari yang lalu
